scenario_id,width_m,length_m,height_m,floor_area_m2,volume_m3,anchor_count,anchors_per_sqm,anchors_per_cubic_m,nlos_probability,nlos_bias_m,packet_loss_probability
scenario-000000,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000001,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000002,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000003,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000004,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000005,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000006,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000007,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000008,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000009,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000010,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000011,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000012,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000013,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000014,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000015,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000016,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000017,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000018,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000019,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000020,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000021,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000022,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000023,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000024,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000025,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000026,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000027,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000028,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000029,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000030,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000031,20.0,20.0,6.0,400.0,2400.0,4,0.01,0.0016666666666666668,0.1,0.5,
scenario-000032,20.0,20.0,6.0,400.0,2400.0,5,0.0125,0.0020833333333333333,0.1,0.5,
scenario-000033,20.0,20.0,6.0,400.0,2400.0,5,0.0125,0.0020833333333333333,0.1,0.5,
scenario-000034,20.0,20.0,6.0,400.0,2400.0,5,0.0125,0.0020833333333333333,0.1,0.5,
scenario-000035,20.0,20.0,6.0,400.0,2400.0,5,0.0125,0.0020833333333333333,0.1,0.5,
scenario-000036,20.0,20.0,6.0,400.0,2400.0,5,0.0125,0.0020833333333333333,0.1,0.5,
