scenario_id,method,family,scenario_scenario_id,scenario_method,scenario_anchor_count,scenario_tag_count,scenario_update_rate_hz,scenario_width_m,scenario_length_m,scenario_height_m,scenario_frame_duration_s,scenario_guard_duration_s,scenario_hardware_profile,scenario_oscillator_profile,scenario_calibration_profile,scenario_anchor_layout,scenario_anchor_altitude_spread_m,scenario_path,scenario_speed_m_s,scenario_timing_uncertainty_m,scenario_clock_quality_ppm,scenario_synchronization_interval_s,scenario_reply_delay_s,scenario_bandwidth_hz,scenario_center_freq_hz,scenario_snr_db,scenario_nlos_probability,scenario_nlos_bias_m,scenario_additional_measurement_uncertainty_m,scenario_packet_loss_probability,scenario_tx_power_dbm,scenario_scheduling_model,acc_n_success,acc_x_bias_m,acc_y_bias_m,acc_z_bias_m,acc_x_mae_m,acc_y_mae_m,acc_z_mae_m,acc_x_rmse_m,acc_y_rmse_m,acc_z_rmse_m,acc_x_std_m,acc_y_std_m,acc_z_std_m,acc_horizontal_mae_m,acc_horizontal_rmse_m,acc_horizontal_p50_m,acc_horizontal_p68_m,acc_horizontal_p90_m,acc_horizontal_p95_m,acc_horizontal_p99_m,acc_horizontal_max_m,acc_cep50_m,acc_cep95_m,acc_vertical_mae_m,acc_vertical_rmse_m,acc_vertical_p50_m,acc_vertical_p68_m,acc_vertical_p90_m,acc_vertical_p95_m,acc_vertical_p99_m,acc_vertical_max_m,acc_error_3d_mae_m,acc_error_3d_rmse_m,acc_error_3d_std_m,acc_error_3d_p50_m,acc_error_3d_p68_m,acc_error_3d_p75_m,acc_error_3d_p90_m,acc_error_3d_p95_m,acc_error_3d_p99_m,acc_error_3d_max_m,acc_sep50_m,acc_sep95_m,acc_error_ellipsoid_volume_m3,rel_attempted_fixes,rel_valid_fixes,rel_invalid_fixes,rel_valid_fix_rate,rel_dropout_rate,rel_solver_failure_rate,rel_outlier_rate,rel_severe_outlier_rate,rel_continuity,rel_longest_outage_fixes,rel_reacquisition_time_s,rel_availability_by_threshold,rel_los_availability,rel_nlos_availability,scale_method,scale_anchor_count,scale_tag_count,scale_requested_update_rate_hz,scale_frames_per_fix,scale_frame_duration_s,scale_guard_duration_s,scale_scheduling_model,scale_frames_per_second_offered,scale_airtime_fraction,scale_scheduled_occupancy,scale_overloaded,scale_collision_probability,scale_packet_delivery_probability,scale_requested_fixes_per_second,scale_achievable_fixes_per_second,scale_achieved_per_tag_update_rate_hz,scale_max_supported_tags,scale_energy_per_valid_fix_j,pathm_path_id,pathm_path_type,pathm_sample_count,pathm_path_3d_length_m,pathm_horizontal_path_length_m,pathm_vertical_travel_m,pathm_duration_s,pathm_mean_speed_m_s,pathm_max_speed_m_s,pathm_vertical_speed_m_s,pathm_horizontal_rmse_m,pathm_vertical_rmse_m,pathm_error_3d_rmse_m,pathm_error_3d_p95_m,pathm_cross_track_rmse_m,pathm_along_track_rmse_m,pathm_dropouts,pathm_longest_outage,latency_sequential_fix_s,geom_geometry_valid_fraction,geom_jacobian_rank,geom_geometry_valid,geom_failure_reason,geom_redundant,geom_reference_count,geom_condition_number,geom_hull_contains_tag,crlb_crlb_x_m,crlb_crlb_y_m,crlb_crlb_z_m,evidence_evidence_type,evidence_source_name,evidence_source_url,evidence_source_scope,evidence_retrieved_date,evidence_confidence,evidence_caveats,feas_scenario_id,feas_applicable,feas_geometry_valid,feas_overloaded,feas_failed_requirements,feas_unknown_requirements,feas_feasible,feas_infeasibility_reason,pareto_index,pareto_feasible,pareto_pareto_optimal,pareto_pareto_front_index,pareto_dominated_by,pareto_normalized_score,pareto_weighted_score,hw_manufacturer,hw_module_family,hw_exact_model,hw_hardware_revision,hw_claimed_radio_ic,hw_verified_radio_ic,hw_claimed_ranging_support,hw_verified_ranging_support,hw_operating_band,hw_bandwidth_options_khz,hw_max_tx_power_dbm,hw_rx_sensitivity_dbm,hw_oscillator_type,hw_oscillator_tolerance_ppm,hw_pa_present,hw_lna_present,hw_tx_current_ma,hw_rx_current_ma,hw_sleep_current_ua,hw_calibration_requirement,hw_firmware_identity,hw_driver_or_software_identity,hw_evidence_evidence_type,hw_evidence_source_name,hw_evidence_source_url,hw_evidence_source_scope,hw_evidence_retrieved_date,hw_evidence_confidence,hw_evidence_caveats,hw_provenance_conflict_flag,hw_provenance_conflict_note
scenario-000000,UWB_SS_TWR,LOCAL_RADIO,scenario-000000,UWB_SS_TWR,4,1,1.0,20.0,20.0,6.0,0.001,0.0002,,,,,,,,0.15,,,,,,,0.1,0.5,,,,scheduled,100,0.005008042591321034,-0.002003826600697396,0.18786144157992457,0.10586775611449431,0.10894361822980583,0.4479512283118963,0.1393046803333196,0.1429493753130873,0.5652962862202283,0.13921463095584413,0.14293533006697895,0.5331678628554941,0.17030519214944523,0.19960039545344155,0.14403032767470342,0.22002874108245166,0.30267711138241443,0.37165763879658326,0.45332996782877966,0.45565170830118484,0.14403032767470342,0.37165763879658326,0.4479512283118963,0.5652962862202283,0.35030916735727624,0.5126290987636243,0.829132127977065,1.103156896007801,1.6164229418839295,1.8412694966360812,0.500717973777142,0.5994999658711855,0.3296691065539293,0.4183225210707866,0.5675374113588275,0.6493207336017326,0.872368823938899,1.1050515210268181,1.6445044853337545,1.8782985539181154,0.4183225210707866,1.1050515210268181,0.04467183669815267,100,100,0,1.0,0.0,0.0,,,1.0,0,,0.1:0.0|0.25:0.21|0.5:0.61|1.0:0.93|2.0:1.0,,,SS_TWR,4,1,1.0,8,0.001,0.0002,scheduled,8.0,0.009600000000000001,0.009600000000000001,False,,,1.0,1.0,1.0,104,,scenario-000000-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.19960039545344155,0.5652962862202283,0.5994999658711855,1.1050515210268181,0.5812896458707403,0.14663750094372857,0,0,0.009600000000000001,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,0.15926591250660804,0.15926591250660802,0.6217531824986616,SIMULATED_MONTE_CARLO,Configured Gaussian/NLOS-bias range-error model,,"Synthetic model: N(0, 0.1500 m) range noise, plus a 0.500 m bias applied to a randomly selected 10% of attempts. Parameters come directly from this scenario's configuration, not from a measurement or a hardware-calibrated fit.",,,,scenario-000000,True,False,False,,,False,GEOMETRY_INVALID,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scenario-000001,UWB_SS_TWR,LOCAL_RADIO,scenario-000001,UWB_SS_TWR,4,1,5.0,20.0,20.0,6.0,0.001,0.0002,,,,,,,,0.15,,,,,,,0.1,0.5,,,,scheduled,100,0.005008042591321034,-0.002003826600697396,0.18786144157992457,0.10586775611449431,0.10894361822980583,0.4479512283118963,0.1393046803333196,0.1429493753130873,0.5652962862202283,0.13921463095584413,0.14293533006697895,0.5331678628554941,0.17030519214944523,0.19960039545344155,0.14403032767470342,0.22002874108245166,0.30267711138241443,0.37165763879658326,0.45332996782877966,0.45565170830118484,0.14403032767470342,0.37165763879658326,0.4479512283118963,0.5652962862202283,0.35030916735727624,0.5126290987636243,0.829132127977065,1.103156896007801,1.6164229418839295,1.8412694966360812,0.500717973777142,0.5994999658711855,0.3296691065539293,0.4183225210707866,0.5675374113588275,0.6493207336017326,0.872368823938899,1.1050515210268181,1.6445044853337545,1.8782985539181154,0.4183225210707866,1.1050515210268181,0.04467183669815267,100,100,0,1.0,0.0,0.0,,,1.0,0,,0.1:0.0|0.25:0.21|0.5:0.61|1.0:0.93|2.0:1.0,,,SS_TWR,4,1,5.0,8,0.001,0.0002,scheduled,40.0,0.048,0.048,False,,,5.0,5.0,5.0,20,,scenario-000001-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.19960039545344155,0.5652962862202283,0.5994999658711855,1.1050515210268181,0.5812896458707403,0.14663750094372857,0,0,0.009600000000000001,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,0.15926591250660804,0.15926591250660802,0.6217531824986616,SIMULATED_MONTE_CARLO,Configured Gaussian/NLOS-bias range-error model,,"Synthetic model: N(0, 0.1500 m) range noise, plus a 0.500 m bias applied to a randomly selected 10% of attempts. Parameters come directly from this scenario's configuration, not from a measurement or a hardware-calibrated fit.",,,,scenario-000001,True,False,False,,,False,GEOMETRY_INVALID,1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scenario-000002,UWB_SS_TWR,LOCAL_RADIO,scenario-000002,UWB_SS_TWR,4,10,1.0,20.0,20.0,6.0,0.001,0.0002,,,,,,,,0.15,,,,,,,0.1,0.5,,,,scheduled,100,0.005008042591321034,-0.002003826600697396,0.18786144157992457,0.10586775611449431,0.10894361822980583,0.4479512283118963,0.1393046803333196,0.1429493753130873,0.5652962862202283,0.13921463095584413,0.14293533006697895,0.5331678628554941,0.17030519214944523,0.19960039545344155,0.14403032767470342,0.22002874108245166,0.30267711138241443,0.37165763879658326,0.45332996782877966,0.45565170830118484,0.14403032767470342,0.37165763879658326,0.4479512283118963,0.5652962862202283,0.35030916735727624,0.5126290987636243,0.829132127977065,1.103156896007801,1.6164229418839295,1.8412694966360812,0.500717973777142,0.5994999658711855,0.3296691065539293,0.4183225210707866,0.5675374113588275,0.6493207336017326,0.872368823938899,1.1050515210268181,1.6445044853337545,1.8782985539181154,0.4183225210707866,1.1050515210268181,0.04467183669815267,100,100,0,1.0,0.0,0.0,,,1.0,0,,0.1:0.0|0.25:0.21|0.5:0.61|1.0:0.93|2.0:1.0,,,SS_TWR,4,10,1.0,8,0.001,0.0002,scheduled,80.0,0.096,0.096,False,,,10.0,10.0,1.0,104,,scenario-000002-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.19960039545344155,0.5652962862202283,0.5994999658711855,1.1050515210268181,0.5812896458707403,0.14663750094372857,0,0,0.009600000000000001,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,0.15926591250660804,0.15926591250660802,0.6217531824986616,SIMULATED_MONTE_CARLO,Configured Gaussian/NLOS-bias range-error model,,"Synthetic model: N(0, 0.1500 m) range noise, plus a 0.500 m bias applied to a randomly selected 10% of attempts. Parameters come directly from this scenario's configuration, not from a measurement or a hardware-calibrated fit.",,,,scenario-000002,True,False,False,,,False,GEOMETRY_INVALID,2,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scenario-000003,UWB_SS_TWR,LOCAL_RADIO,scenario-000003,UWB_SS_TWR,4,10,5.0,20.0,20.0,6.0,0.001,0.0002,,,,,,,,0.15,,,,,,,0.1,0.5,,,,scheduled,100,0.005008042591321034,-0.002003826600697396,0.18786144157992457,0.10586775611449431,0.10894361822980583,0.4479512283118963,0.1393046803333196,0.1429493753130873,0.5652962862202283,0.13921463095584413,0.14293533006697895,0.5331678628554941,0.17030519214944523,0.19960039545344155,0.14403032767470342,0.22002874108245166,0.30267711138241443,0.37165763879658326,0.45332996782877966,0.45565170830118484,0.14403032767470342,0.37165763879658326,0.4479512283118963,0.5652962862202283,0.35030916735727624,0.5126290987636243,0.829132127977065,1.103156896007801,1.6164229418839295,1.8412694966360812,0.500717973777142,0.5994999658711855,0.3296691065539293,0.4183225210707866,0.5675374113588275,0.6493207336017326,0.872368823938899,1.1050515210268181,1.6445044853337545,1.8782985539181154,0.4183225210707866,1.1050515210268181,0.04467183669815267,100,100,0,1.0,0.0,0.0,,,1.0,0,,0.1:0.0|0.25:0.21|0.5:0.61|1.0:0.93|2.0:1.0,,,SS_TWR,4,10,5.0,8,0.001,0.0002,scheduled,400.0,0.48000000000000004,0.48000000000000004,False,,,50.0,50.0,5.0,20,,scenario-000003-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.19960039545344155,0.5652962862202283,0.5994999658711855,1.1050515210268181,0.5812896458707403,0.14663750094372857,0,0,0.009600000000000001,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,0.15926591250660804,0.15926591250660802,0.6217531824986616,SIMULATED_MONTE_CARLO,Configured Gaussian/NLOS-bias range-error model,,"Synthetic model: N(0, 0.1500 m) range noise, plus a 0.500 m bias applied to a randomly selected 10% of attempts. Parameters come directly from this scenario's configuration, not from a measurement or a hardware-calibrated fit.",,,,scenario-000003,True,False,False,,,False,GEOMETRY_INVALID,3,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scenario-000004,UWB_DS_TWR,LOCAL_RADIO,scenario-000004,UWB_DS_TWR,4,1,1.0,20.0,20.0,6.0,0.001,0.0002,,,,,,,,0.15,,,,,,,0.1,0.5,,,,scheduled,100,0.005008042591321034,-0.002003826600697396,0.18786144157992457,0.10586775611449431,0.10894361822980583,0.4479512283118963,0.1393046803333196,0.1429493753130873,0.5652962862202283,0.13921463095584413,0.14293533006697895,0.5331678628554941,0.17030519214944523,0.19960039545344155,0.14403032767470342,0.22002874108245166,0.30267711138241443,0.37165763879658326,0.45332996782877966,0.45565170830118484,0.14403032767470342,0.37165763879658326,0.4479512283118963,0.5652962862202283,0.35030916735727624,0.5126290987636243,0.829132127977065,1.103156896007801,1.6164229418839295,1.8412694966360812,0.500717973777142,0.5994999658711855,0.3296691065539293,0.4183225210707866,0.5675374113588275,0.6493207336017326,0.872368823938899,1.1050515210268181,1.6445044853337545,1.8782985539181154,0.4183225210707866,1.1050515210268181,0.04467183669815267,100,100,0,1.0,0.0,0.0,,,1.0,0,,0.1:0.0|0.25:0.21|0.5:0.61|1.0:0.93|2.0:1.0,,,DS_TWR,4,1,1.0,12,0.001,0.0002,scheduled,12.0,0.014400000000000001,0.014400000000000001,False,,,1.0,1.0,1.0,69,,scenario-000004-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.19960039545344155,0.5652962862202283,0.5994999658711855,1.1050515210268181,0.5812896458707403,0.14663750094372857,0,0,0.014400000000000001,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,0.15926591250660804,0.15926591250660802,0.6217531824986616,SIMULATED_MONTE_CARLO,Configured Gaussian/NLOS-bias range-error model,,"Synthetic model: N(0, 0.1500 m) range noise, plus a 0.500 m bias applied to a randomly selected 10% of attempts. Parameters come directly from this scenario's configuration, not from a measurement or a hardware-calibrated fit.",,,,scenario-000004,True,False,False,,,False,GEOMETRY_INVALID,4,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scenario-000005,UWB_DS_TWR,LOCAL_RADIO,scenario-000005,UWB_DS_TWR,4,1,5.0,20.0,20.0,6.0,0.001,0.0002,,,,,,,,0.15,,,,,,,0.1,0.5,,,,scheduled,100,0.005008042591321034,-0.002003826600697396,0.18786144157992457,0.10586775611449431,0.10894361822980583,0.4479512283118963,0.1393046803333196,0.1429493753130873,0.5652962862202283,0.13921463095584413,0.14293533006697895,0.5331678628554941,0.17030519214944523,0.19960039545344155,0.14403032767470342,0.22002874108245166,0.30267711138241443,0.37165763879658326,0.45332996782877966,0.45565170830118484,0.14403032767470342,0.37165763879658326,0.4479512283118963,0.5652962862202283,0.35030916735727624,0.5126290987636243,0.829132127977065,1.103156896007801,1.6164229418839295,1.8412694966360812,0.500717973777142,0.5994999658711855,0.3296691065539293,0.4183225210707866,0.5675374113588275,0.6493207336017326,0.872368823938899,1.1050515210268181,1.6445044853337545,1.8782985539181154,0.4183225210707866,1.1050515210268181,0.04467183669815267,100,100,0,1.0,0.0,0.0,,,1.0,0,,0.1:0.0|0.25:0.21|0.5:0.61|1.0:0.93|2.0:1.0,,,DS_TWR,4,1,5.0,12,0.001,0.0002,scheduled,60.0,0.07200000000000001,0.07200000000000001,False,,,5.0,5.0,5.0,13,,scenario-000005-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.19960039545344155,0.5652962862202283,0.5994999658711855,1.1050515210268181,0.5812896458707403,0.14663750094372857,0,0,0.014400000000000001,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,0.15926591250660804,0.15926591250660802,0.6217531824986616,SIMULATED_MONTE_CARLO,Configured Gaussian/NLOS-bias range-error model,,"Synthetic model: N(0, 0.1500 m) range noise, plus a 0.500 m bias applied to a randomly selected 10% of attempts. Parameters come directly from this scenario's configuration, not from a measurement or a hardware-calibrated fit.",,,,scenario-000005,True,False,False,,,False,GEOMETRY_INVALID,5,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scenario-000006,UWB_DS_TWR,LOCAL_RADIO,scenario-000006,UWB_DS_TWR,4,10,1.0,20.0,20.0,6.0,0.001,0.0002,,,,,,,,0.15,,,,,,,0.1,0.5,,,,scheduled,100,0.005008042591321034,-0.002003826600697396,0.18786144157992457,0.10586775611449431,0.10894361822980583,0.4479512283118963,0.1393046803333196,0.1429493753130873,0.5652962862202283,0.13921463095584413,0.14293533006697895,0.5331678628554941,0.17030519214944523,0.19960039545344155,0.14403032767470342,0.22002874108245166,0.30267711138241443,0.37165763879658326,0.45332996782877966,0.45565170830118484,0.14403032767470342,0.37165763879658326,0.4479512283118963,0.5652962862202283,0.35030916735727624,0.5126290987636243,0.829132127977065,1.103156896007801,1.6164229418839295,1.8412694966360812,0.500717973777142,0.5994999658711855,0.3296691065539293,0.4183225210707866,0.5675374113588275,0.6493207336017326,0.872368823938899,1.1050515210268181,1.6445044853337545,1.8782985539181154,0.4183225210707866,1.1050515210268181,0.04467183669815267,100,100,0,1.0,0.0,0.0,,,1.0,0,,0.1:0.0|0.25:0.21|0.5:0.61|1.0:0.93|2.0:1.0,,,DS_TWR,4,10,1.0,12,0.001,0.0002,scheduled,120.0,0.14400000000000002,0.14400000000000002,False,,,10.0,10.0,1.0,69,,scenario-000006-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.19960039545344155,0.5652962862202283,0.5994999658711855,1.1050515210268181,0.5812896458707403,0.14663750094372857,0,0,0.014400000000000001,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,0.15926591250660804,0.15926591250660802,0.6217531824986616,SIMULATED_MONTE_CARLO,Configured Gaussian/NLOS-bias range-error model,,"Synthetic model: N(0, 0.1500 m) range noise, plus a 0.500 m bias applied to a randomly selected 10% of attempts. Parameters come directly from this scenario's configuration, not from a measurement or a hardware-calibrated fit.",,,,scenario-000006,True,False,False,,,False,GEOMETRY_INVALID,6,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scenario-000007,UWB_DS_TWR,LOCAL_RADIO,scenario-000007,UWB_DS_TWR,4,10,5.0,20.0,20.0,6.0,0.001,0.0002,,,,,,,,0.15,,,,,,,0.1,0.5,,,,scheduled,100,0.005008042591321034,-0.002003826600697396,0.18786144157992457,0.10586775611449431,0.10894361822980583,0.4479512283118963,0.1393046803333196,0.1429493753130873,0.5652962862202283,0.13921463095584413,0.14293533006697895,0.5331678628554941,0.17030519214944523,0.19960039545344155,0.14403032767470342,0.22002874108245166,0.30267711138241443,0.37165763879658326,0.45332996782877966,0.45565170830118484,0.14403032767470342,0.37165763879658326,0.4479512283118963,0.5652962862202283,0.35030916735727624,0.5126290987636243,0.829132127977065,1.103156896007801,1.6164229418839295,1.8412694966360812,0.500717973777142,0.5994999658711855,0.3296691065539293,0.4183225210707866,0.5675374113588275,0.6493207336017326,0.872368823938899,1.1050515210268181,1.6445044853337545,1.8782985539181154,0.4183225210707866,1.1050515210268181,0.04467183669815267,100,100,0,1.0,0.0,0.0,,,1.0,0,,0.1:0.0|0.25:0.21|0.5:0.61|1.0:0.93|2.0:1.0,,,DS_TWR,4,10,5.0,12,0.001,0.0002,scheduled,600.0,0.7200000000000001,0.7200000000000001,False,,,50.0,50.0,5.0,13,,scenario-000007-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.19960039545344155,0.5652962862202283,0.5994999658711855,1.1050515210268181,0.5812896458707403,0.14663750094372857,0,0,0.014400000000000001,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,0.15926591250660804,0.15926591250660802,0.6217531824986616,SIMULATED_MONTE_CARLO,Configured Gaussian/NLOS-bias range-error model,,"Synthetic model: N(0, 0.1500 m) range noise, plus a 0.500 m bias applied to a randomly selected 10% of attempts. Parameters come directly from this scenario's configuration, not from a measurement or a hardware-calibrated fit.",,,,scenario-000007,True,False,False,,,False,GEOMETRY_INVALID,7,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scenario-000008,TDOA,LOCAL_RADIO,scenario-000008,TDOA,4,1,1.0,20.0,20.0,6.0,0.001,0.0002,,,,,,,,0.15,,,,,,,0.1,0.5,,,,scheduled,100,8.109917733289326,-24.381861024630748,-990.0566208511885,15.788825717523856,32.64150638663592,4169.173836580205,52.84721036354997,124.18642583650488,15028.470108103029,52.221230142237964,121.76942643792539,14995.822807623963,38.620232684773846,134.96331355318392,0.5396174388125923,1.905212404720505,86.76638027170358,248.54442102412122,605.2565923982971,947.2046992625122,0.5396174388125923,248.54442102412122,4169.173836580205,15028.470108103029,5.804268307078265,11.423713612069312,11074.714980968562,21185.25761322684,59535.04542699307,105903.7234645345,4169.5757728462395,15029.076115521922,14439.105469545031,5.8205936127849425,11.576716680141436,20.242913463611377,11075.172667129207,21185.388532684374,59538.08328933905,105904.00914885639,5.8205936127849425,21185.388532684374,275821632.4896029,100,100,0,1.0,0.0,0.0,,,1.0,0,,0.1:0.01|0.25:0.01|0.5:0.02|1.0:0.04|2.0:0.16,,,TDOA,4,1,1.0,1,0.001,0.0002,scheduled,1.0,0.0012000000000000001,0.0012000000000000001,False,,,1.0,1.0,1.0,833,,scenario-000008-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,134.96331355318392,15028.470108103029,15029.076115521922,21185.388532684374,14947.670967490332,1562.1336478669568,0,0,0.0012000000000000001,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,112.23865528306885,,0.7469556987515527,0.7469556987515525,8.528057929532968,SIMULATED_MONTE_CARLO,Configured Gaussian/NLOS-bias range-error model,,"Synthetic model: N(0, 0.1500 m) range noise, plus a 0.500 m bias applied to a randomly selected 10% of attempts. Parameters come directly from this scenario's configuration, not from a measurement or a hardware-calibrated fit.",,,,scenario-000008,True,False,False,,,False,GEOMETRY_INVALID,8,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scenario-000009,TDOA,LOCAL_RADIO,scenario-000009,TDOA,4,1,5.0,20.0,20.0,6.0,0.001,0.0002,,,,,,,,0.15,,,,,,,0.1,0.5,,,,scheduled,100,8.109917733289326,-24.381861024630748,-990.0566208511885,15.788825717523856,32.64150638663592,4169.173836580205,52.84721036354997,124.18642583650488,15028.470108103029,52.221230142237964,121.76942643792539,14995.822807623963,38.620232684773846,134.96331355318392,0.5396174388125923,1.905212404720505,86.76638027170358,248.54442102412122,605.2565923982971,947.2046992625122,0.5396174388125923,248.54442102412122,4169.173836580205,15028.470108103029,5.804268307078265,11.423713612069312,11074.714980968562,21185.25761322684,59535.04542699307,105903.7234645345,4169.5757728462395,15029.076115521922,14439.105469545031,5.8205936127849425,11.576716680141436,20.242913463611377,11075.172667129207,21185.388532684374,59538.08328933905,105904.00914885639,5.8205936127849425,21185.388532684374,275821632.4896029,100,100,0,1.0,0.0,0.0,,,1.0,0,,0.1:0.01|0.25:0.01|0.5:0.02|1.0:0.04|2.0:0.16,,,TDOA,4,1,5.0,1,0.001,0.0002,scheduled,5.0,0.006,0.006,False,,,5.0,5.0,5.0,166,,scenario-000009-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,134.96331355318392,15028.470108103029,15029.076115521922,21185.388532684374,14947.670967490332,1562.1336478669568,0,0,0.0012000000000000001,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,112.23865528306885,,0.7469556987515527,0.7469556987515525,8.528057929532968,SIMULATED_MONTE_CARLO,Configured Gaussian/NLOS-bias range-error model,,"Synthetic model: N(0, 0.1500 m) range noise, plus a 0.500 m bias applied to a randomly selected 10% of attempts. Parameters come directly from this scenario's configuration, not from a measurement or a hardware-calibrated fit.",,,,scenario-000009,True,False,False,,,False,GEOMETRY_INVALID,9,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
