scenario_id,method,anchor_count,tag_count,requested_update_rate_hz,frames_per_fix,frame_duration_s,guard_duration_s,scheduling_model,frames_per_second_offered,airtime_fraction,scheduled_occupancy,overloaded,collision_probability,packet_delivery_probability,requested_fixes_per_second,achievable_fixes_per_second,achieved_per_tag_update_rate_hz,max_supported_tags,energy_per_valid_fix_j
scenario-000000,SS_TWR,4,1,1.0,8,0.001,0.0002,scheduled,8.0,0.009600000000000001,0.009600000000000001,False,,,1.0,1.0,1.0,104,
scenario-000001,SS_TWR,4,1,5.0,8,0.001,0.0002,scheduled,40.0,0.048,0.048,False,,,5.0,5.0,5.0,20,
scenario-000002,SS_TWR,4,10,1.0,8,0.001,0.0002,scheduled,80.0,0.096,0.096,False,,,10.0,10.0,1.0,104,
scenario-000003,SS_TWR,4,10,5.0,8,0.001,0.0002,scheduled,400.0,0.48000000000000004,0.48000000000000004,False,,,50.0,50.0,5.0,20,
scenario-000004,DS_TWR,4,1,1.0,12,0.001,0.0002,scheduled,12.0,0.014400000000000001,0.014400000000000001,False,,,1.0,1.0,1.0,69,
scenario-000005,DS_TWR,4,1,5.0,12,0.001,0.0002,scheduled,60.0,0.07200000000000001,0.07200000000000001,False,,,5.0,5.0,5.0,13,
scenario-000006,DS_TWR,4,10,1.0,12,0.001,0.0002,scheduled,120.0,0.14400000000000002,0.14400000000000002,False,,,10.0,10.0,1.0,69,
scenario-000007,DS_TWR,4,10,5.0,12,0.001,0.0002,scheduled,600.0,0.7200000000000001,0.7200000000000001,False,,,50.0,50.0,5.0,13,
scenario-000008,TDOA,4,1,1.0,1,0.001,0.0002,scheduled,1.0,0.0012000000000000001,0.0012000000000000001,False,,,1.0,1.0,1.0,833,
scenario-000009,TDOA,4,1,5.0,1,0.001,0.0002,scheduled,5.0,0.006,0.006,False,,,5.0,5.0,5.0,166,
scenario-000010,TDOA,4,10,1.0,1,0.001,0.0002,scheduled,10.0,0.012,0.012,False,,,10.0,10.0,1.0,833,
scenario-000011,TDOA,4,10,5.0,1,0.001,0.0002,scheduled,50.0,0.060000000000000005,0.060000000000000005,False,,,50.0,50.0,5.0,166,
scenario-000012,SS_TWR,4,1,1.0,8,0.001,0.0002,scheduled,8.0,0.009600000000000001,0.009600000000000001,False,,,1.0,1.0,1.0,104,
scenario-000013,SS_TWR,4,1,5.0,8,0.001,0.0002,scheduled,40.0,0.048,0.048,False,,,5.0,5.0,5.0,20,
scenario-000014,SS_TWR,4,10,1.0,8,0.001,0.0002,scheduled,80.0,0.096,0.096,False,,,10.0,10.0,1.0,104,
scenario-000015,SS_TWR,4,10,5.0,8,0.001,0.0002,scheduled,400.0,0.48000000000000004,0.48000000000000004,False,,,50.0,50.0,5.0,20,
