scenario_id,anchor_count,volume_m3,radius_m,anchor_density_3d_per_m3,expected_anchors_in_range,planning_approximation
scenario-000000,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000001,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000002,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000003,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000004,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000005,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000006,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000007,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000008,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000009,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000010,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000011,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000012,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000013,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000014,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000015,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000016,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000017,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000018,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000019,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000020,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000021,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000022,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000023,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000024,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000025,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000026,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000027,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000028,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000029,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000030,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000031,4,2400.0,10.0,0.0016666666666666668,6.981317007977318,True
scenario-000032,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000033,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000034,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000035,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000036,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000037,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000038,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000039,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000040,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000041,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000042,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000043,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000044,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000045,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000046,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000047,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000048,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000049,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000050,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000051,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000052,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
scenario-000053,5,2400.0,10.0,0.0020833333333333333,8.726646259971647,True
