case,radio,condition,bandwidth_hz,snr_db,true_range_m,trial,range_error_m
uwb_los,DWM3000,LOS,499200000,10.0,10.0,1,-0.166063
uwb_los,DWM3000,LOS,499200000,10.0,10.0,2,-0.241131
uwb_los,DWM3000,LOS,499200000,10.0,10.0,3,-0.090994
uwb_los,DWM3000,LOS,499200000,10.0,10.0,4,-0.391267
uwb_los,DWM3000,LOS,499200000,10.0,10.0,5,-0.166063
uwb_los,DWM3000,LOS,499200000,10.0,10.0,6,-0.090994
uwb_los,DWM3000,LOS,499200000,10.0,10.0,7,-0.541404
uwb_los,DWM3000,LOS,499200000,10.0,10.0,8,-0.090994
uwb_los,DWM3000,LOS,499200000,10.0,10.0,9,-0.015926
uwb_los,DWM3000,LOS,499200000,10.0,10.0,10,-0.015926
uwb_los,DWM3000,LOS,499200000,10.0,10.0,11,-0.316199
uwb_los,DWM3000,LOS,499200000,10.0,10.0,12,-0.466336
uwb_los,DWM3000,LOS,499200000,10.0,10.0,13,-0.466336
uwb_los,DWM3000,LOS,499200000,10.0,10.0,14,-0.391267
uwb_los,DWM3000,LOS,499200000,10.0,10.0,15,-0.541404
uwb_los,DWM3000,LOS,499200000,10.0,10.0,16,-0.090994
uwb_los,DWM3000,LOS,499200000,10.0,10.0,17,-0.166063
uwb_los,DWM3000,LOS,499200000,10.0,10.0,18,-0.090994
uwb_los,DWM3000,LOS,499200000,10.0,10.0,19,-0.090994
uwb_los,DWM3000,LOS,499200000,10.0,10.0,20,-0.391267
uwb_los,DWM3000,LOS,499200000,10.0,10.0,21,-0.166063
uwb_los,DWM3000,LOS,499200000,10.0,10.0,22,-0.011721
uwb_los,DWM3000,LOS,499200000,10.0,10.0,23,-0.466336
uwb_los,DWM3000,LOS,499200000,10.0,10.0,24,-0.241131
uwb_los,DWM3000,LOS,499200000,10.0,10.0,25,-0.541404
uwb_los,DWM3000,LOS,499200000,10.0,10.0,26,-0.541404
uwb_los,DWM3000,LOS,499200000,10.0,10.0,27,-0.166063
uwb_los,DWM3000,LOS,499200000,10.0,10.0,28,-0.166063
uwb_los,DWM3000,LOS,499200000,10.0,10.0,29,-0.241131
