case,radio,condition,bandwidth_hz,snr_db,true_range_m,trials,mean_error_m,median_error_m,std_error_m,p95_abs_error_m,max_abs_error_m,std_ci_lo_m,std_ci_hi_m,std_at_quarter_m,std_at_half_m
sx1280_1600k_los,SX1280,LOS,1625000,-12.0,1000.0,300,0.097879,0.202249,3.638136,7.163463,12.211815,3.344386,3.927485,3.304352,3.712713
sx1280_1600k_los,SX1280,LOS,1625000,-12.0,250.0,300,0.180277,0.249295,3.383671,6.909448,10.624691,3.107575,3.658341,3.278179,3.566961
sx1280_1600k_los,SX1280,LOS,1625000,-12.0,3000.0,300,0.202379,0.322478,3.444590,6.763049,10.501100,3.175986,3.700155,3.732410,3.554870
sx1280_1600k_los,SX1280,LOS,1625000,-12.0,400.0,300,0.131002,-0.184818,3.632557,7.066977,10.879100,3.354660,3.921641,3.464579,3.329349
sx1280_1600k_los,SX1280,LOS,1625000,-12.0,50.0,300,0.337555,0.278311,3.417739,6.471084,11.653871,3.136427,3.719199,3.399895,3.382817
sx1280_1600k_los,SX1280,LOS,1625000,-20.0,1000.0,300,-0.117473,-0.306079,9.198939,18.451990,29.635515,8.423320,9.948912,8.777716,8.607119
sx1280_1600k_los,SX1280,LOS,1625000,-20.0,250.0,300,0.381357,-0.146855,9.033454,16.107125,32.866076,8.352872,9.773719,8.918318,9.119185
sx1280_1600k_los,SX1280,LOS,1625000,-20.0,3000.0,300,-0.200238,-0.429004,8.111313,15.893512,22.583018,7.493035,8.742997,8.360423,8.583617
sx1280_1600k_los,SX1280,LOS,1625000,-20.0,400.0,300,-0.240407,-0.559240,8.793930,18.835466,24.903188,8.052500,9.570427,9.636536,9.204144
sx1280_1600k_los,SX1280,LOS,1625000,-20.0,50.0,300,0.363694,1.143134,8.911653,17.263648,27.551445,8.220695,9.582916,8.829120,8.211523
sx1280_1600k_los,SX1280,LOS,1625000,-6.0,1000.0,300,0.065651,0.138692,1.848255,3.790821,5.205642,1.709264,1.990944,1.937590,1.857672
sx1280_1600k_los,SX1280,LOS,1625000,-6.0,250.0,300,-0.093598,-0.110554,1.737346,3.392079,5.342743,1.592034,1.866901,1.620064,1.754106
sx1280_1600k_los,SX1280,LOS,1625000,-6.0,3000.0,300,-0.172401,-0.179401,1.669429,3.162355,7.105397,1.516605,1.835164,1.549592,1.500783
sx1280_1600k_los,SX1280,LOS,1625000,-6.0,400.0,300,0.048548,-0.104647,1.863675,3.487275,7.930182,1.683045,2.044540,1.796450,1.920904
sx1280_1600k_los,SX1280,LOS,1625000,-6.0,50.0,300,0.095492,0.150673,1.823934,3.607078,5.307890,1.685824,1.974427,1.736369,1.695816
sx1280_1600k_los,SX1280,LOS,1625000,0.0,1000.0,300,-0.075489,-0.015516,0.976109,1.892255,2.636694,0.903985,1.043035,0.850007,0.899737
sx1280_1600k_los,SX1280,LOS,1625000,0.0,250.0,300,0.067485,0.100780,0.869545,1.623195,2.983306,0.795617,0.930184,0.785345,0.798385
sx1280_1600k_los,SX1280,LOS,1625000,0.0,3000.0,300,0.064371,0.026789,0.857590,1.802401,2.898098,0.777069,0.928191,0.814560,0.894010
sx1280_1600k_los,SX1280,LOS,1625000,0.0,400.0,300,-0.107014,-0.040510,0.879189,1.814636,2.631812,0.805216,0.952196,0.797577,0.842800
sx1280_1600k_los,SX1280,LOS,1625000,0.0,50.0,300,-0.067167,-0.092317,1.008570,2.017780,3.429039,0.911064,1.101399,1.043139,1.010820
sx1280_1600k_los,SX1280,LOS,1625000,12.0,1000.0,300,-0.040879,-0.043397,0.286867,0.423568,2.229103,0.230439,0.356765,0.200231,0.291442
sx1280_1600k_los,SX1280,LOS,1625000,12.0,250.0,300,0.005547,-0.008675,0.315112,0.487907,1.850599,0.249490,0.380820,0.360856,0.355577
sx1280_1600k_los,SX1280,LOS,1625000,12.0,3000.0,300,-0.018535,-0.022475,0.476495,0.567984,5.357667,0.292408,0.682296,0.677137,0.520676
sx1280_1600k_los,SX1280,LOS,1625000,12.0,400.0,300,-0.061657,-0.071622,0.296697,0.493820,1.875167,0.242018,0.363939,0.267005,0.286215
sx1280_1600k_los,SX1280,LOS,1625000,12.0,50.0,300,-0.051242,-0.045724,0.293328,0.505026,1.936365,0.243874,0.340844,0.254901,0.309940
sx1280_1600k_los,SX1280,LOS,1625000,18.0,1000.0,300,-0.036837,-0.045078,0.266161,0.605347,1.710570,0.205004,0.317083,0.210967,0.311693
sx1280_1600k_los,SX1280,LOS,1625000,18.0,250.0,300,0.038089,0.037243,0.238797,0.288156,1.892639,0.168363,0.313374,0.222517,0.242002
